ADD,100000,R,1,1,3
AND,100100,R,1,1,3
XOR,100110,R,1,1,3
OR,100101,R,1,1,3
SLT,101010,R,1,1,3
SUB,100010,R,1,1,3
SLL,000000,R,1,3,3
ROTR,000010,R,2,1,3
SRL,000010,R,2,2,3
MULT,011000,R,3,1,2
DIV,011010,R,3,1,2
JR,001000,R,4,1,1
MFHI,010000,R,5,1,1
MFLO,010010,R,5,1,1
SYSCALL,001100,R,6,1,0
NOP,000000,R,1,2,0
ADDI,001000,I,1,1,3
BEQ,000100,I,1,1,3
BNE,000101,I,1,1,3
BGTZ,000111,I,1,2,2
BLEZ,000110,I,1,2,2
LUI,001111,I,1,3,2
LW,100011,I,1,4,3
SW,101011,I,1,4,3
J,000010,J,1,1,1
JAL,000011,J,1,1,1
