ADD,100000,R,1,1
SUB,100100,R,1,1
XOR,100110,R,1,1
OR,100101,R,1,1
SLT,101010,R,1,1
SUB,100010,R,1,1
NOP,000000,R,1,2
SLL,000000,R,1,3
ROTR,000010,R,2,1
SRL,000010,R,2,2
MULT,011000,R,3,1
DIV,011010,R,3,1
JR,001000,R,4,1
MFHI,010010,R,5,1
SYSCALL,001100,R,6,1
ADDI,001000,I,1,1
BEQ,000100,I,1,1
BNE,000101,I,1,1
BGTZ,000111,I,1,2
BLEZ,000110,I,1,2
LUI,001111,I,1,3
LW,100011,I,1,4
J,000010,J,1,1
JAL,000011,J,1,1
